                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.372,                0.46429,                      1,                 1.3613,              8.568e-05,              8.568e-05,              8.568e-05
                      2,                 1.1261,                0.82143,                      1,                   1.21,             0.00017673,             0.00017673,             0.00017673
                      3,                0.53391,                      1,                      1,                0.81934,             0.00026595,             0.00026595,             0.00026595
                      4,                0.12659,                      1,                      1,                0.77588,             0.00035333,             0.00035333,             0.00035333
                      5,                0.05562,                      1,                      1,                0.78516,             0.00043886,             0.00043886,             0.00043886
                      6,                0.04947,                      1,                      1,                0.77441,             0.00052257,             0.00052257,             0.00052257
                      7,                0.05711,                      1,                      1,                0.75635,             0.00060443,             0.00060443,             0.00060443
                      8,                0.07386,                      1,                      1,                0.76416,             0.00066452,             0.00066452,             0.00066452
                      9,                0.03065,                      1,                      1,                0.78076,             0.00065745,             0.00065745,             0.00065745
                     10,                0.03756,                      1,                      1,                0.78906,             0.00065038,             0.00065038,             0.00065038
                     11,                0.04916,                0.89286,                      1,                0.84033,             0.00064331,             0.00064331,             0.00064331
                     12,                0.06553,                      1,                      1,                0.77148,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.0601,                0.92857,                      1,                0.80518,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03666,                      1,                      1,                0.76465,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0279,                      1,                      1,                0.77197,             0.00061504,             0.00061504,             0.00061504
                     16,                0.01416,                      1,                      1,                 0.7832,             0.00060797,             0.00060797,             0.00060797
                     17,                0.06532,                      1,                      1,                0.80029,              0.0006009,              0.0006009,              0.0006009
                     18,                0.04057,                      1,                      1,                0.76855,             0.00059383,             0.00059383,             0.00059383
                     19,                0.04442,                      1,                      1,                0.75977,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01259,                      1,                      1,                0.76514,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02851,                      1,                      1,                0.76514,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01356,                0.92857,                      1,                0.79492,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01897,                0.92857,                      1,                0.80078,             0.00055849,             0.00055849,             0.00055849
                     24,                0.00878,                      1,                      1,                0.76172,             0.00055142,             0.00055142,             0.00055142
                     25,                0.00986,                      1,                      1,                0.75684,             0.00054435,             0.00054435,             0.00054435
                     26,                0.01194,                      1,                      1,                0.75049,             0.00053728,             0.00053728,             0.00053728
                     27,                0.02012,                      1,                      1,                0.75537,             0.00053022,             0.00053022,             0.00053022
                     28,                0.05397,                      1,                      1,                0.74707,             0.00052315,             0.00052315,             0.00052315
                     29,                0.08042,                0.96429,                      1,                 0.8125,             0.00051608,             0.00051608,             0.00051608
                     30,                0.09861,                0.96429,                      1,                0.79639,             0.00050901,             0.00050901,             0.00050901
                     31,                0.10121,                0.96429,                      1,                0.78613,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01878,                0.85714,                      1,                0.85693,             0.00049487,             0.00049487,             0.00049487
                     33,                0.11285,                0.89286,                      1,                0.81543,              0.0004878,              0.0004878,              0.0004878
                     34,                0.04922,                      1,                      1,                0.76904,             0.00048074,             0.00048074,             0.00048074
                     35,                0.01534,                      1,                      1,                0.75781,             0.00047367,             0.00047367,             0.00047367
                     36,                0.03729,                      1,                      1,                   0.75,              0.0004666,              0.0004666,              0.0004666
                     37,                0.00937,                      1,                      1,                0.74805,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.0082,                      1,                      1,                0.74805,             0.00045246,             0.00045246,             0.00045246
                     39,                0.04151,                      1,                      1,                0.74756,             0.00044539,             0.00044539,             0.00044539
                     40,                0.01523,                      1,                      1,                 0.7627,             0.00043832,             0.00043832,             0.00043832
                     41,                0.04825,                0.96429,                      1,                0.77344,             0.00043126,             0.00043126,             0.00043126
                     42,                0.07779,                0.96429,                      1,                0.79102,             0.00042419,             0.00042419,             0.00042419
                     43,                0.01385,                      1,                      1,                0.75146,             0.00041712,             0.00041712,             0.00041712
                     44,                0.01223,                      1,                      1,                0.76074,             0.00041005,             0.00041005,             0.00041005
                     45,                0.02143,                      1,                      1,                0.76123,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00936,                0.96429,                      1,                 0.7749,             0.00039591,             0.00039591,             0.00039591
                     47,                0.01386,                      1,                      1,                0.76611,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00507,                      1,                      1,                0.75488,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00892,                      1,                      1,                0.75781,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01138,                      1,                      1,                0.75781,             0.00036764,             0.00036764,             0.00036764
                     51,                0.01013,                      1,                      1,                0.75635,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00334,                0.96429,                      1,                0.76562,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00559,                0.96429,                      1,                0.76904,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00479,                      1,                      1,                0.75928,             0.00033936,             0.00033936,             0.00033936
                     55,                  0.003,                      1,                      1,                0.75684,              0.0003323,              0.0003323,              0.0003323
                     56,                  0.005,                      1,                      1,                0.75537,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00812,                      1,                      1,                   0.75,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00356,                      1,                      1,                   0.75,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00622,                      1,                      1,                0.74902,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00795,                      1,                      1,                0.75293,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00656,                      1,                      1,                0.75049,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00847,                      1,                      1,                0.74902,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00455,                      1,                      1,                0.74854,             0.00027575,             0.00027575,             0.00027575
                     64,                0.01096,                      1,                      1,                0.74951,             0.00026868,             0.00026868,             0.00026868
                     65,                0.00878,                      1,                      1,                0.74951,             0.00026161,             0.00026161,             0.00026161
                     66,                0.00842,                      1,                      1,                0.74805,             0.00025454,             0.00025454,             0.00025454
                     67,                0.00275,                      1,                      1,                0.74805,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00845,                      1,                      1,                0.74756,              0.0002404,              0.0002404,              0.0002404
                     69,                0.07463,                      1,                      1,                0.74658,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02083,                0.92857,                      1,                0.80811,             0.00022627,             0.00022627,             0.00022627
                     71,                0.01271,                0.85714,                      1,                0.85791,              0.0002192,              0.0002192,              0.0002192
                     72,                0.04271,                0.96429,                      1,                0.80664,             0.00021213,             0.00021213,             0.00021213
                     73,                0.01116,                0.96429,                      1,                0.77246,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00495,                0.96429,                      1,                0.77783,             0.00019799,             0.00019799,             0.00019799
                     75,                 0.0039,                0.96429,                      1,                0.77148,             0.00019092,             0.00019092,             0.00019092
                     76,                  0.115,                0.96429,                      1,                0.77246,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00608,                0.96429,                      1,                0.77148,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00758,                0.96429,                      1,                0.78027,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00863,                0.96429,                      1,                0.78467,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00921,                0.96429,                      1,                0.77979,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00785,                      1,                      1,                 0.7666,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00936,                      1,                      1,                0.75439,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00234,                      1,                      1,                0.75244,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00346,                      1,                      1,                0.75293,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00328,                      1,                      1,                   0.75,             0.00012024,             0.00012024,             0.00012024
                     86,                 0.0017,                      1,                      1,                0.74902,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00225,                      1,                      1,                0.74951,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01153,                      1,                      1,                0.74902,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00599,                      1,                      1,                   0.75,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00886,                      1,                      1,                0.74951,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00229,                      1,                      1,                0.74902,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02975,                      1,                      1,                0.74805,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00863,                      1,                      1,                0.74854,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00622,                      1,                      1,                   0.75,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01194,                      1,                      1,                0.75049,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00686,                      1,                      1,                0.74805,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00406,                      1,                      1,                0.74902,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00149,                      1,                      1,                0.75342,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00184,                      1,                      1,                0.75146,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.04195,                      1,                      1,                0.75684,             1.4209e-05,             1.4209e-05,             1.4209e-05
