                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91924,                 3.1057,                 1.4434,                0.50682,                0.64286,                0.61949,                0.57506,                0.40852,                 4.1228,                0.92986,                0.00015,                0.00015,                0.00015
                      2,                0.65023,                 1.4384,                 1.2018,                0.58002,                0.68444,                 0.7939,                0.63658,                 0.6923,                 4.0756,                 1.4112,             0.00030941,             0.00030941,             0.00030941
                      3,                0.64832,                 1.0962,                 1.1962,                0.11736,                   0.75,                0.19742,                0.08552,                 2.3751,                 78.112,                 12.501,              0.0004656,              0.0004656,              0.0004656
                      4,                0.71961,                 1.0299,                 1.2277,                0.17375,                0.35714,                0.26516,                0.12537,                  2.695,                 154.05,                 7.2694,             0.00061857,             0.00061857,             0.00061857
                      5,                0.73416,                   0.89,                 1.2344,                0.47563,                0.71429,                0.47497,                0.25698,                 1.3613,                 25.056,                 3.4001,             0.00076832,             0.00076832,             0.00076832
                      6,                0.70022,                0.89327,                 1.1968,                0.31829,                   0.75,                0.41413,                0.22907,                 1.4862,                 13.255,                 3.2452,             0.00091486,             0.00091486,             0.00091486
                      7,                0.70514,                0.92423,                 1.2213,                0.48435,                 0.3528,                0.26573,                 0.1392,                 1.8942,                 16.151,                 4.1433,              0.0010582,              0.0010582,              0.0010582
                      8,                0.72953,                0.82766,                 1.2373,                  0.334,                0.17857,                0.08882,                0.03625,                 2.0522,                 7.1426,                 3.4009,              0.0011634,              0.0011634,              0.0011634
                      9,                0.78256,                0.84507,                 1.2698,                0.28879,                0.28571,                0.15285,                0.08348,                 2.7034,                 108.33,                 5.3389,               0.001151,               0.001151,               0.001151
                     10,                0.67084,                0.76968,                 1.1723,                0.39493,                0.10714,                0.06332,                0.01778,                 2.6094,                 10.129,                 3.7355,              0.0011386,              0.0011386,              0.0011386
                     11,                 0.6699,                0.76087,                 1.1873,                0.39989,                0.47479,                0.45268,                0.30854,                 0.9979,                 5.2623,                 1.8773,              0.0011263,              0.0011263,              0.0011263
                     12,                 0.6712,                0.76352,                 1.1885,                0.42659,                0.73435,                0.56088,                0.34667,                0.87093,                 4.0411,                 1.7523,              0.0011139,              0.0011139,              0.0011139
                     13,                0.67336,                0.69677,                 1.1749,                0.69422,                0.78571,                0.80132,                0.68048,                0.74935,                 1.4951,                 1.5462,              0.0011015,              0.0011015,              0.0011015
                     14,                0.67846,                0.70425,                 1.1996,                0.48043,                0.77484,                0.64354,                0.43687,                 1.3258,                 1.9016,                 1.9239,              0.0010891,              0.0010891,              0.0010891
                     15,                0.63976,                0.65898,                 1.1841,                0.61089,                 0.6362,                0.57221,                0.36285,                 1.7265,                 2.4813,                 2.5677,              0.0010768,              0.0010768,              0.0010768
                     16,                0.61614,                0.64588,                 1.1488,                0.53568,                0.60714,                0.55507,                0.48117,                0.61026,                 2.6524,                 1.1757,              0.0010644,              0.0010644,              0.0010644
                     17,                0.57991,                0.57728,                 1.1248,                0.67971,                0.89286,                0.90627,                0.74239,                0.69798,                 1.3511,                 1.4026,               0.001052,               0.001052,               0.001052
                     18,                 0.5868,                0.61303,                 1.1421,                0.52621,                0.72471,                0.57795,                0.41047,                0.92878,                 2.6173,                  1.647,              0.0010396,              0.0010396,              0.0010396
                     19,                0.59121,                0.59419,                 1.1404,                0.89924,                 0.8284,                0.90611,                0.70565,                 0.9114,                0.97247,                  1.591,              0.0010273,              0.0010273,              0.0010273
                     20,                0.61098,                0.59313,                  1.142,                0.86003,                0.82833,                0.95669,                0.81211,                0.66334,                0.92069,                 1.2809,              0.0010149,              0.0010149,              0.0010149
                     21,                0.60238,                0.58383,                 1.1354,                0.76745,                0.83186,                0.89117,                0.76055,                0.63881,                 1.1684,                  1.216,              0.0010025,              0.0010025,              0.0010025
                     22,                0.58457,                0.59409,                 1.1219,                0.85286,                0.82593,                0.87712,                0.77038,                0.57921,                 1.0218,                  1.208,             0.00099013,             0.00099013,             0.00099013
                     23,                0.58509,                0.61391,                 1.1494,                0.85096,                0.92699,                0.95066,                0.77559,                0.64947,                0.97895,                 1.2463,             0.00097775,             0.00097775,             0.00097775
                     24,                0.58577,                 0.5504,                 1.1315,                0.97369,                0.96429,                0.99063,                0.84434,                0.64439,                0.48496,                 1.1894,             0.00096537,             0.00096537,             0.00096537
                     25,                0.60121,                0.54655,                 1.1362,                0.83843,                0.94568,                 0.9459,                0.83169,                0.61559,                0.61067,                 1.1708,               0.000953,               0.000953,               0.000953
